Name	gene_id
NBRY_ABTB2_0025	Abtb2
NBRY_ABTB2_0026	Abtb2
NBRY_ABTB2_0027	Abtb2
NBRY_ABTB2_0028	Abtb2
NBRY_ABTB2_0029	Abtb2
NBRY_ABTB2_0030	Abtb2
NBRY_ABTB2_0031	Abtb2
NBRY_ABTB2_0032	Abtb2
NBRY_ABTB2_0033	Abtb2
NBRY_AC004080-3_0001	AC004080.3
NBRY_AC010132-3_0001	AC010132.3
NBRY_AC099489-1_0001	AC099489.1
NBRY_AC099489-1_0002	AC099489.1
NBRY_AC118412-1_0001	AC118412.1
NBRY_AC118412-1_0002	AC118412.1
NBRY_AC118412-1_0003	AC118412.1
NBRY_AC118412-1_0004	AC118412.1
NBRY_AC118412-1_0005	AC118412.1
NBRY_AC118412-1_0006	AC118412.1
NBRY_AC118412-1_0007	AC118412.1
NBRY_AC118412-1_0008	AC118412.1
NBRY_AC118412-1_0009	AC118412.1
NBRY_AC118553-2_0001	AC118553.2
NBRY_AC140267-1_0001	AC140267.1
NBRY_AC151602-1_0001	AC151602.1
NBRY_ACAA1B_0001	Acaa1b
NBRY_ACAA1B_0002	Acaa1b
NBRY_ACAA2_0001	Acaa2
NBRY_ACACA_0001	Acaca
NBRY_ACACB_0001	Acacb
NBRY_ACAD10_0001	Acad10
NBRY_ACAD11_0001	Acad11
NBRY_ACAD8_0001	Acad8
NBRY_ACAD8_0002	Acad8
NBRY_ACAD9_0001	Acad9
NBRY_ACADL_0001	Acadl
NBRY_ACADM_0001	Acadm
NBRY_ACADSB_0001	Acadsb
NBRY_ACADS_0001	Acads
NBRY_ACADVL_0001	Acadvl
NBRY_ACAN_0001	Acan
NBRY_ACAP1_0001	Acap1
NBRY_ACAP2_0001	Acap2
NBRY_ACAP3_0001	Acap3
NBRY_ACAT1_0001	Acat1
NBRY_ACAT3_0001	Acat3
NBRY_ACBD3_0001	Acbd3
NBRY_ACBD4_0001	Acbd4
NBRY_ACBD5_0001	Acbd5
NBRY_ACBD6_0001	Acbd6
NBRY_ACBD7_0001	Acbd7
NBRY_ACCSL_0001	Accsl
NBRY_ACD_0001	Acd
NBRY_ACE2_0001	Ace2
NBRY_ACE3_0001	Ace3
NBRY_ACER1_0001	Acer1
NBRY_ACER2_0001	Acer2
